sample-id,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;s__Trachelomonas_sp.,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Synura;__,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Mallomonas;s__Mallomonas_caudata,d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlorophyceae;f__Chlorophyceae;g__Chlorophyceae;s__Haematococcus_lacustris,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;__
D14MTP2Exp12022,0,5,0,0,1
D14MTP2Exp22021,0,0,0,0,0
D14MTP2Exp32022,0,0,0,0,0
D14MTP3Exp12021,0,0,0,0,0
D14MTP3Exp12022,0,4,0,0,1
D14MTP3Exp22021,1,0,0,0,0
D14MTP3Exp32022,0,0,16,0,0
D14MTP4Exp12021,3,0,0,0,0
D14MTP4Exp12022,1,13,5,0,1
D14MTP4Exp22021,0,0,0,0,0
D14MTP4Exp32022,0,0,0,0,0
D14MTP5Exp12021,0,0,0,0,0
D14MTP5Exp12022,0,11,0,0,0
D14MTP5Exp22021,0,0,0,0,0
D14MTP5Exp32022,0,0,0,0,0
D14MTP6Exp32022,0,0,2,0,0
D14MTP7Exp12021,0,0,0,0,0
D14MTP7Exp12022,2,0,0,0,19
D14MTP7Exp22021,6,0,0,0,0
D14MTP7Exp32022,0,0,0,0,0
D14MTP8Exp12021,0,0,0,0,0
D14MTP8Exp12022,1,6,0,0,0
D14MTP8Exp22021,0,0,0,0,0
D14MTP8Exp32022,0,0,0,0,0
D14MTP9Exp12021,0,0,0,0,0
D14MTP9Exp12022,0,8,0,0,0
D14MTP9Exp22021,0,0,0,0,0
D14MTP9Exp32022,0,0,0,0,0
D15MTP10Exp22022,0,0,0,0,1
D15MTP12Exp22022,0,0,0,38,0
D15MTP13Exp22022,0,0,0,0,0
D15MTP14Exp22022,0,0,0,34,0
D15MTP15Exp22022,0,0,0,131,1
D15MTP16Exp22022,2,0,0,0,0
D15MTP17Exp22022,0,0,1,0,0
D15MTP18Exp22022,3,0,0,686,0
D15MTP19Exp22022,0,0,1,44,0
D15MTP1Exp22022,0,0,36,1,0
D15MTP20Exp22022,0,0,0,3,0
D15MTP21Exp22022,0,0,3,2,0
D15MTP2Exp22022,0,0,0,0,0
D15MTP3Exp22022,0,0,8,15,0
D15MTP4Exp22022,0,0,0,36,0
D15MTP5Exp22022,0,0,0,13,0
D15MTP6Exp22022,0,0,6,3,0
D15MTP7Exp22022,0,0,18,25,0
D15MTP8Exp22022,0,1,6,7,0
D15MTP9Exp22022,0,0,5,0,0
D1MTP10Exp22022,2,3,43,0,2
D1MTP12Exp22022,1,3,15,326,2
D1MTP13Exp22022,7,0,64,5,0
D1MTP14Exp22022,4,0,38,0,9
D1MTP15Exp22022,5,1,29,201,6
D1MTP16Exp22022,0,3,74,77,5
D1MTP17Exp22022,11,1,23,2,3
D1MTP18Exp22022,4,1,41,37,4
D1MTP19Exp22022,5,10,31,164,4
D1MTP1Exp22022,2,2,63,47,2
D1MTP20Exp22022,8,6,37,8,0
D1MTP21Exp22022,1,0,44,21,0
D1MTP2Exp22022,6,6,66,0,2
D1MTP3Exp22022,1,0,39,59,3
D1MTP4Exp22022,1,5,56,140,1
D1MTP5Exp22022,6,0,59,129,2
D1MTP6Exp22022,9,4,44,33,1
D1MTP7Exp22022,8,0,55,178,3
D1MTP8Exp22022,7,5,54,101,3
D1MTP9Exp22022,15,4,29,0,2
D21MTP10Exp12022,15,0,0,0,7
D22MTP10Exp22021,0,0,0,0,0
D21MTP10Exp32022,0,0,0,0,0
D21MTP11Exp12022,14,0,0,0,8
D21MTP12Exp12022,0,2,1,0,2
D22MTP12Exp22021,0,0,0,0,0
D21MTP12Exp32022,0,0,0,0,0
D21MTP13Exp12022,0,0,0,0,0
D22MTP13Exp22021,0,1,0,0,0
D21MTP13Exp32022,0,0,0,0,0
D21MTP14Exp12022,0,0,0,0,0
D22MTP14Exp22021,0,0,0,0,0
D21MTP14Exp32022,0,0,0,0,0
D21MTP15Exp12022,0,0,12,0,0
D22MTP15Exp22021,0,0,0,0,0
D21MTP15Exp32022,0,0,0,0,0
D21MTP16Exp12022,0,11,0,0,0
D22MTP16Exp22021,0,2,0,0,0
D21MTP16Exp32022,0,0,0,0,0
D21MTP17Exp12022,1,7,0,0,0
D22MTP17Exp22021,0,0,0,0,0
D21MTP17Exp32022,0,0,0,0,0
D21MTP18Exp12022,2,5,0,0,2
D22MTP18Exp22021,0,0,0,0,0
D21MTP18Exp32022,0,0,0,0,0
D21MTP19Exp12022,0,3,1,0,0
D22MTP19Exp22021,0,10,0,0,0
D21MTP19Exp32022,0,0,0,0,0
D21MTP1Exp12022,0,17,0,0,0
D21MTP1Exp32022,0,3,0,0,0
D21MTP20Exp12022,0,0,0,0,2
D22MTP20Exp22021,0,0,0,0,0
D21MTP20Exp32022,0,0,0,0,0
D21MTP21Exp12022,1,27,0,0,0
D22MTP21Exp22021,0,0,0,0,0
D21MTP21Exp32022,0,0,0,0,0
D21MTP2Exp12022,0,3,0,0,0
D22MTP2Exp22021,0,0,0,0,0
D21MTP2Exp32022,0,4,0,0,0
D21MTP3Exp12022,1,9,1,0,1
D22MTP3Exp22021,0,0,0,0,0
D21MTP3Exp32022,0,0,0,0,0
D21MTP4Exp12022,1,9,0,0,0
D22MTP4Exp22021,0,0,0,0,0
D21MTP4Exp32022,0,0,0,0,0
D21MTP5Exp12022,0,0,0,0,0
D22MTP5Exp22021,0,0,0,0,0
D21MTP5Exp32022,0,0,0,0,0
D21MTP6Exp32022,0,0,0,0,0
D22MTP7Exp12022,1,2,0,0,9
D21MTP7Exp22021,0,4,0,0,0
D21MTP7Exp32022,0,0,0,0,0
D21MTP8Exp12022,0,3,0,0,0
D22MTP8Exp22021,0,0,0,0,0
D21MTP8Exp32022,0,0,0,1,0
D21MTP9Exp12022,0,4,0,0,0
D22MTP9Exp22021,0,6,0,0,0
D21MTP9Exp32022,0,0,0,0,0
D22MTP10Exp12021,0,0,0,2,0
D22MTP10Exp22022,0,1,0,0,0
D22MTP11Exp12021,0,0,0,0,0
D22MTP12Exp12021,0,0,0,0,0
D22MTP12Exp22022,0,2,0,42,0
D22MTP13Exp12021,0,0,0,0,0
D22MTP13Exp22022,0,1,0,0,0
D22MTP14Exp12021,0,0,0,1,0
D22MTP14Exp22022,0,0,0,24,0
D22MTP15Exp12021,0,0,0,0,0
D22MTP15Exp22022,0,0,0,7,0
D22MTP16Exp12021,0,0,0,11,0
D22MTP16Exp22022,0,0,0,0,0
D22MTP17Exp12021,0,0,0,0,0
D22MTP17Exp22022,0,0,0,0,0
D22MTP18Exp12021,0,0,0,0,0
D22MTP18Exp22022,0,0,0,13,0
D22MTP19Exp12021,0,0,0,0,0
D22MTP19Exp22022,0,0,0,10,0
D22MTP1Exp12021,0,0,0,2,0
D22MTP1Exp22022,0,0,8,2,0
D22MTP20Exp12021,0,0,0,0,0
D22MTP20Exp22022,0,6,0,0,0
D22MTP21Exp12021,0,0,0,0,0
D22MTP21Exp22022,0,0,1,0,0
D22MTP2Exp12021,0,0,0,0,0
D22MTP2Exp22022,0,0,0,0,0
D22MTP3Exp12021,0,0,0,0,0
D22MTP3Exp22022,0,0,2,1,0
D22MTP4Exp12021,0,0,0,0,0
D22MTP4Exp22022,0,0,0,21,0
D22MTP5Exp12021,2,0,0,0,0
D22MTP5Exp22022,0,3,0,8,0
D22MTP6Exp22022,0,0,1,1,0
D22MTP7Exp12021,0,0,0,0,0
D22MTP7Exp22022,0,2,6,15,0
D22MTP8Exp12021,2,0,0,0,0
D22MTP8Exp22022,0,0,0,25,0
D22MTP9Exp12021,0,0,0,0,0
