sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D0MTP19Exp22021,19,2,0,2021,22021,7/26/2021,Day0,30,29.97524194,Trachelomonas abrupta,4864.553548,0.616197183,1,0,2,0,0
D0MTP19Exp32022,19,3,0,2022,32022,9/19/2022,Day0,30,35.1794617,Chrysosphaerella sp.,1256.401551,2.800017373,0,80,6,0,0
D0MTP1Exp12021,1,1,0,2021,12021,6/14/2021,Day0,30,31.8594,Haematococcus pluvialis,725.6863332,4.390243903,0,0,22,23,0
D0MTP1Exp12022,1,1,0,2022,12022,6/1/2022,Day0,100,80.22910537,Chrysosphaerella sp.,425.6924789,18.84672841,0,173,2,0,7
D0MTP1Exp22021,1,2,0,2021,22021,7/26/2021,Day0,30,26.4393361,Trachelomonas abrupta,4278.765892,0.61791967,12,0,3,0,0
D0MTP1Exp32022,1,3,0,2022,32022,9/19/2022,Day0,0,0,Chrysosphaerella sp.,1712.357473,0,1,2,22,0,0
D0MTP20Exp12021,20,1,0,2021,12021,6/14/2021,Day0,0,2.134633166,Haematococcus pluvialis,392.7725025,0.543478261,0,0,12,0,0
D0MTP20Exp12022,20,1,0,2022,12022,6/1/2022,Day0,30,4.273561368,Chrysosphaerella sp.,632.7237512,0.675422941,0,64,2,0,1
D0MTP20Exp22021,20,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,4529.408675,0,7,0,4,0,0
D0MTP20Exp32022,20,3,0,2022,32022,9/19/2022,Day0,1,4.308235294,Chrysosphaerella sp.,1106.482697,0.389363097,0,3,11,0,0
D0MTP21Exp12021,21,1,0,2021,12021,6/14/2021,Day0,100,52.66016529,Haematococcus pluvialis,456.3880991,11.53846154,2,0,22,52,0
D0MTP21Exp12022,21,1,0,2022,12022,6/1/2022,Day0,0,0,Chrysosphaerella sp.,756.714494,0,1,45,0,0,0
D0MTP21Exp22021,21,2,0,2021,22021,7/26/2021,Day0,100,65.60494208,Trachelomonas abrupta,4657.950888,1.408450704,0,0,5,0,0
D0MTP21Exp32022,21,3,0,2022,32022,9/19/2022,Day0,30,13.00383673,Chrysosphaerella sp.,1425.327754,0.912340105,0,72,10,0,0
D0MTP2Exp12021,2,1,0,2021,12021,6/14/2021,Day0,10,7.53177305,Haematococcus pluvialis,3888.905485,0.193673338,2,0,12,8,0
D0MTP2Exp12022,2,1,0,2022,12022,6/1/2022,Day0,1,13.55719149,Chrysosphaerella sp.,375.4973139,3.610462974,1,67,2,0,0
D0MTP2Exp22021,2,2,0,2021,22021,7/26/2021,Day0,10,12.74376,Trachelomonas abrupta,3597.98824,0.354191263,4,0,3,0,0
D0MTP2Exp32022,2,3,0,2022,32022,9/19/2022,Day0,10,12.87248485,Chrysosphaerella sp.,1681.092565,0.76572136,2,26,15,0,0
D0MTP3Exp12021,3,1,0,2021,12021,6/14/2021,Day0,0,0,Haematococcus pluvialis,455.1342857,0,6,0,17,0,0
