Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
8,D28MTP8Exp12021,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,410.4764511,0,19.211,187.5,0.09,8.17,10.37,9.05,9.99
9,D0MTP9Exp12021,1,0,2021,12021,6/14/2021,Day0,1,4.343476483,Haematococcus pluvialis,2249.920818,0.193050193,18.88,182.6,0.09,7.77,23.12,9.17,5.42
9,D7MTP9Exp12021,1,7,2021,12021,6/21/2021,Week1,1,0,Haematococcus pluvialis,2096.860032,0,19.325,193,0.09,8.07,8.12,9.04,11.57
9,D14MTP9Exp12021,1,14,2021,12021,6/28/2021,Week2,1,0,Haematococcus pluvialis,5394.597792,0,19.298,185.9,0.09,8.12,8.64,9.16,9.96
9,D22MTP9Exp12021,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,2687.271131,0,19.384,188.3,0.09,8.07,4.98,8.96,8.5
9,D28MTP9Exp12021,1,28,2021,12021,7/12/2021,Week4,1,0,Haematococcus pluvialis,1293.217581,0,19.232,189.1,0.09,8.11,6.72,9,7.6
10,D0MTP10Exp12021,1,0,2021,12021,6/14/2021,Day0,100,66.69439614,Haematococcus pluvialis,2483.083672,2.685950413,18.893,182.2,0.09,7.75,14.98,9.15,5.71
10,D7MTP10Exp12021,1,7,2021,12021,6/21/2021,Week1,100,0,Haematococcus pluvialis,1328.085333,0,19.393,184.5,0.09,8.04,6.74,8.96,9.34
10,D14MTP10Exp12021,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,707.9866667,0,19.33,184.7,0.09,8.14,7.44,8.09,8.9
10,D22MTP10Exp12021,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,3975.499043,0,19.512,185.9,0.09,8.08,5.38,8.94,16.72
10,D28MTP10Exp12021,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,1846.736305,0,19.292,186.9,0.09,8.1,6.73,9,17.02
11,D0MTP11Exp12021,1,0,2021,12021,6/14/2021,Day0,30,5.411363057,Haematococcus pluvialis,365.2670063,1.481481482,18.857,181.3,0.09,7.72,13.5,9.11,5.48
11,D7MTP11Exp12021,1,7,2021,12021,6/21/2021,Week1,30,0,Haematococcus pluvialis,1489.990121,0,19.388,184.1,0.09,8.15,6.85,8.98,7.3
11,D14MTP11Exp12021,1,14,2021,12021,6/28/2021,Week2,30,4.985821596,Haematococcus pluvialis,10275.77831,0.048520136,19.327,186,0.09,8.19,6.84,9.23,13.9
11,D22MTP11Exp12021,1,22,2021,12021,7/6/2021,Week3,30,10.01867925,Haematococcus pluvialis,11250.97679,0.089047195,19.442,184.2,0.09,8.25,6.47,9.02,19.23
11,D28MTP11Exp12021,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,3227.750236,0,19.213,185.8,0.09,8.23,11.98,9.05,10.88
12,D0MTP12Exp12021,1,0,2021,12021,6/14/2021,Day0,10,6.769593625,Haematococcus pluvialis,302.9393147,2.234636872,18.72,183.1,0.09,7.76,14.87,9.22,5.78
12,D7MTP12Exp12021,1,7,2021,12021,6/21/2021,Week1,10,0,Haematococcus pluvialis,1111.189836,0,19.284,187.6,0.09,8.08,6.42,9.04,5.71
12,D14MTP12Exp12021,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,2336.356,0,19.157,185.4,0.09,8.18,8.56,9.15,8.38
12,D22MTP12Exp12021,1,22,2021,12021,7/6/2021,Week3,10,5.231428571,Haematococcus pluvialis,2048.104286,0.255427842,19.244,191,0.09,8.06,7.12,9,6.5
12,D28MTP12Exp12021,1,28,2021,12021,7/12/2021,Week4,10,0,Haematococcus pluvialis,1277.794849,0,18.785,188.2,0.09,8.13,17.85,9.03,6.91
13,D0MTP13Exp12021,1,0,2021,12021,6/14/2021,Day0,0,2.9296,Haematococcus pluvialis,278.312,1.052631579,18.759,182.5,0.09,7.75,15.47,9.2,5.44
13,D7MTP13Exp12021,1,7,2021,12021,6/21/2021,Week1,0,0,Haematococcus pluvialis,1415.973333,0,19.287,182.8,0.08,8.23,6.56,9.05,7.56
13,D14MTP13Exp12021,1,14,2021,12021,6/28/2021,Week2,0,8.09127619,Haematococcus pluvialis,5712.440991,0.141643059,19.264,184.8,0.09,8.19,6.49,9.17,11.8
13,D22MTP13Exp12021,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,6548.876666,0,19.248,189.6,0.09,8.2,4.45,9.08,10.22
