Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,Replicate,Run,Conversion,VolumeFilteredL
2,16,3,2021,N,1,NA,1,12.1.23,-1.2,1
2,16,3,2021,N,1,NA,2,12.1.23,-1.2,1
2,16,3,2021,N,1,NA,3,12.1.23,-1.2,1
2,16,3,2021,N,1,NA,4,12.1.23,-1.2,1
2,16,3,2021,N,1,NA,5,12.1.23,-1.2,1
2,16,3,2021,N,1,NA,6,12.1.23,-1.2,1
2,17,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,17,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,17,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,17,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,17,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,17,3,2021,Y,1,NA,6,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,18,3,2021,Y,1,NA,6,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,19,3,2021,Y,1,NA,6,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,20,3,2021,Y,1,NA,6,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,21,3,2021,Y,1,NA,6,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,1,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,2,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,3,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,4,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,5,11.30.23,0.36,1
2,22,3,2021,Y,1,NA,6,11.30.23,0.36,1
3,1,3,2021,N,1,NA,1,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,2,1.19.24,-1.09,1
3,1,3,2021,N,1,46.55338287,3,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,4,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,5,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,6,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,7,1.19.24,-1.09,1
3,1,3,2021,N,1,NA,8,1.19.24,-1.09,1
3,3,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,3,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,3,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,3,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,3,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,3,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,4,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,5,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,6,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,1,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,2,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,3,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,4,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,5,12.1.23,-1.2,1
3,7,3,2021,Y,1,NA,6,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,8,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,9,3,2021,N,1,NA,1,U2,-1.55,1
3,9,3,2021,N,1,38.81200027,2,U2,-1.55,1
3,9,3,2021,N,1,40.45107651,3,U2,-1.55,1
3,9,3,2021,N,1,45.13552475,4,U2,-1.55,1
3,9,3,2021,N,1,NA,5,U2,-1.55,1
3,9,3,2021,N,1,NA,6,U2,-1.55,1
3,9,3,2021,N,1,NA,7,U2,-1.55,1
3,10,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,10,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,10,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,10,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,10,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,10,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,11,3,2021,N,1,NA,1,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,2,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,3,1.22.24,-1.66,1
3,11,3,2021,N,1,47.56604385,4,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,5,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,6,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,7,1.22.24,-1.66,1
3,11,3,2021,N,1,NA,8,1.22.24,-1.66,1
3,12,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,12,3,2021,N,1,49.87965393,2,12.1.23,-1.2,1
3,12,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,12,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,12,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,12,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,14,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,15,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,15,3,2021,N,1,45.66950607,2,12.1.23,-1.2,1
3,15,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,15,3,2021,N,1,NA,4,12.1.23,-1.2,1
